prediction,truth,similarity
[],[],1.0
[],[],1.0
[],"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
[],"[4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
[],"[4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
"[6, 6, 6, 6, 6, 6, 6, 6]","[4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.5
"[4, 4, 4, 4, 4, 6, 6, 6, 6, 6]","[4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.6666666666666667
[],"[4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
"[4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.3076923076923077
"[4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.25
"[4, 4, 4, 4, 4]","[4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.18181818181818177
"[4, 4, 4, 4]","[4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.09999999999999998
"[4, 4, 4]","[6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
"[6, 6, 6, 6, 6, 6, 6]","[6, 6, 6, 6, 6, 6, 6, 6]",0.875
"[6, 6]","[6, 6, 6, 6, 6, 6, 6]",0.2857142857142857
[6],"[6, 6, 6, 6, 6, 6]",0.16666666666666663
[6],"[6, 6, 6, 6, 6]",0.19999999999999996
[6],"[6, 6, 6, 6]",0.25
[6],"[6, 6, 6]",0.33333333333333337
[6],"[6, 6]",0.5
[],[6],0.0
[],[],1.0
[],"[6, 6, 7]",0.0
"[6, 6]","[6, 7]",0.5
[7],[7],1.0
[],[],1.0
[],[],1.0
[],"[6, 6, 7]",0.0
"[6, 7]","[6, 7]",1.0
[7],[7],1.0
[],[],1.0
[],[],1.0
[],"[4, 6, 6, 6, 6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 7]",0.0
"[6, 6, 6]","[6, 6, 6, 6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 7]",0.2142857142857143
"[6, 6]","[6, 6, 6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 7]",0.15384615384615385
"[6, 6]","[6, 6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 7]",0.16666666666666663
[7],"[6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 7]",0.09090909090909094
[],"[6, 6, 7, 5, 5, 5, 5, 5, 5, 7]",0.0
"[6, 6, 6, 6, 6]","[6, 7, 5, 5, 5, 5, 5, 5, 7]",0.11111111111111116
[7],"[7, 5, 5, 5, 5, 5, 5, 7]",0.125
[],"[5, 5, 5, 5, 5, 5, 7]",0.0
"[5, 5, 7]","[5, 5, 5, 5, 5, 7]",0.5
"[5, 7]","[5, 5, 5, 5, 7]",0.4
"[5, 5, 7]","[5, 5, 5, 7]",0.75
"[5, 7]","[5, 5, 7]",0.6666666666666667
"[5, 7]","[5, 7]",1.0
"[5, 7]",[7],0.5
[],[],1.0
[],"[4, 6, 6, 6, 7, 5, 5, 7]",0.0
[],"[6, 6, 6, 7, 5, 5, 7]",0.0
[],"[6, 6, 7, 5, 5, 7]",0.0
[],"[6, 7, 5, 5, 7]",0.0
[7],"[7, 5, 5, 7]",0.25
[],"[5, 5, 7]",0.0
"[5, 5, 7]","[5, 7]",0.6666666666666667
"[5, 7]",[7],0.5
[],[],1.0
[],"[6, 6, 6]",0.0
[],"[6, 6]",0.0
[],[6],0.0
[],[],1.0
[],"[4, 6, 6, 6, 6, 6, 6, 6, 7, 7]",0.0
[],"[6, 6, 6, 6, 6, 6, 6, 7, 7]",0.0
