prediction,truth,similarity
"[3, 2, 3, 2, 2, 2, 3, 6]","[7, 2, 7, 3, 4, 7, 3, 6]",0.375
"[3, 2, 3, 2, 2, 2, 3, 6]","[2, 7, 3, 4, 7, 3, 6]",0.375
"[3, 6]","[7, 3, 4, 7, 3, 6]",0.33333333333333337
"[3, 2, 2, 6]","[3, 4, 7, 3, 6]",0.4
[6],"[4, 7, 3, 6]",0.25
[6],"[7, 3, 6]",0.33333333333333337
"[3, 2, 3, 6]","[3, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 6]","[4, 3, 7, 3, 7, 3, 6]",0.2857142857142857
[6],"[3, 7, 3, 7, 3, 6]",0.16666666666666663
[6],"[7, 3, 7, 3, 6]",0.19999999999999996
"[3, 7, 3, 2, 3, 6]","[3, 7, 3, 6]",0.6666666666666667
[6],"[7, 3, 6]",0.33333333333333337
"[3, 2, 4, 6]","[3, 6]",0.5
"[2, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[3, 6]","[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
"[7, 3, 6]","[7, 3, 7, 3, 6]",0.6
"[3, 6]","[3, 7, 3, 6]",0.5
[6],"[7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 3, 7, 3, 7, 3, 6, 3, 7, 3, 3, 6, 3, 2, 3, 6, 3, 6]","[4, 6]",0.05555555555555558
"[4, 6]",[6],0.5
[],[],1.0
"[3, 6]",[6],0.5
"[3, 7, 3, 2, 4, 6]",[],0.0
"[3, 6]",[6],0.5
[],[],1.0
"[3, 6]","[3, 6]",1.0
"[7, 2, 3, 6]",[6],0.25
[],[],1.0
[6],[6],1.0
[],[],1.0
"[4, 3, 4, 7, 3, 2, 2, 6]","[4, 6, 3, 7, 3, 6]",0.5
"[3, 4, 7, 3, 2, 2, 6]","[6, 3, 7, 3, 6]",0.4285714285714286
"[3, 7, 3, 6]","[3, 7, 3, 6]",1.0
"[7, 3, 6]","[7, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[2, 2, 4, 2, 4, 6]","[7, 3, 2, 3, 6]",0.33333333333333337
"[7, 3, 2, 2, 2, 4, 6]","[3, 2, 3, 6]",0.4285714285714286
"[2, 2, 2, 3, 4, 2, 3, 6]","[2, 3, 6]",0.375
"[2, 3, 2, 4, 2, 3, 4, 6]","[3, 6]",0.25
"[2, 2, 4, 6]",[6],0.25
[],[],1.0
"[3, 6]","[7, 2, 7, 3, 2, 3, 6]",0.2857142857142857
"[3, 6]","[2, 7, 3, 2, 3, 6]",0.33333333333333337
"[3, 6]","[7, 3, 2, 3, 6]",0.4
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 3, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[7, 3, 3, 7, 3, 6]","[7, 3, 6]",0.5
"[3, 2, 6]","[3, 6]",0.6666666666666667
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[6, 3, 6, 3, 6]",[6],0.19999999999999996
"[3, 6, 3, 6]",[],0.0
[6],[6],1.0
[],[],1.0
"[4, 3, 6]",[6],0.33333333333333337
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 7, 3, 6]",[6],0.25
[],[],1.0
"[4, 7, 3, 6]","[7, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 6]",0.25
"[3, 6, 3, 6]","[7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 6]",0.2727272727272727
"[3, 6]","[3, 7, 3, 7, 3, 7, 3, 7, 3, 6]",0.19999999999999996
[6],"[7, 3, 7, 3, 7, 3, 7, 3, 6]",0.11111111111111116
"[3, 6]","[3, 7, 3, 7, 3, 7, 3, 6]",0.25
[6],"[7, 3, 7, 3, 7, 3, 6]",0.1428571428571429
"[3, 6]","[3, 7, 3, 7, 3, 6]",0.33333333333333337
[6],"[7, 3, 7, 3, 6]",0.19999999999999996
"[3, 6]","[3, 7, 3, 6]",0.5
"[4, 6]","[7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[4, 6]","[4, 3, 4, 3, 4, 3, 6]",0.2857142857142857
[6],"[3, 4, 3, 4, 3, 6]",0.16666666666666663
"[4, 6]","[4, 3, 4, 3, 6]",0.4
[6],"[3, 4, 3, 6]",0.25
"[4, 6]","[4, 3, 6]",0.6666666666666667
[6],"[3, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 3, 4, 6]",[6],0.25
"[3, 7, 3, 6]",[],0.0
