prediction,truth,similarity
"[8, 6]","[8, 9, 21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.040000000000000036
[6],"[9, 21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.0
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.08695652173913049
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.045454545454545414
"[7, 16, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 18]","[7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.5238095238095238
"[16, 14, 17, 21, 23, 5, 13, 23]","[16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.35
"[14, 17, 21, 23, 5, 13, 23]","[14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.3157894736842105
"[17, 21, 23, 5, 13, 23]","[17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.2777777777777778
"[21, 23, 5, 13, 23]","[21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.23529411764705888
"[23, 5, 13, 23]","[23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.1875
"[5, 13, 23]","[16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.1333333333333333
"[13, 14, 17, 23, 23, 5, 13, 23]","[13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.3571428571428571
"[14, 17, 23, 23, 5, 13, 23]","[14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.3076923076923077
"[17, 23, 23, 5, 13, 23]","[17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.25
"[23, 23, 5, 13, 23]","[23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.18181818181818177
"[23, 5, 13, 23]","[23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.09999999999999998
"[5, 13, 23]","[18, 23, 24, 24, 12, 4, 10, 3, 24]",0.0
"[23, 12, 10, 4, 3, 24]","[23, 24, 24, 12, 4, 10, 3, 24]",0.5
"[12, 10, 4, 3, 24]","[24, 24, 12, 4, 10, 3, 24]",0.4285714285714286
"[12, 10, 3, 4, 24]","[24, 12, 4, 10, 3, 24]",0.5
"[12, 10, 3, 4, 24]","[12, 4, 10, 3, 24]",0.6
"[10, 4, 3, 24]","[4, 10, 3, 24]",0.5
"[3, 10, 24]","[10, 3, 24]",0.33333333333333337
"[3, 24]","[3, 24]",1.0
[24],[24],1.0
[],[],1.0
"[8, 6]","[8, 9, 21, 2, 16, 7, 14, 17, 21, 23, 23, 18, 23, 24, 24, 6, 15, 24]",0.11111111111111116
[6],"[9, 21, 2, 16, 7, 14, 17, 21, 23, 23, 18, 23, 24, 24, 6, 15, 24]",0.05882352941176472
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[21, 2, 16, 7, 14, 17, 21, 23, 23, 18, 23, 24, 24, 6, 15, 24]",0.125
