prediction,truth,similarity
[],"[4, 6, 6, 6, 6, 6, 6, 7]",0.0
[],"[6, 6, 6, 6, 6, 6, 7]",0.0
[],"[6, 6, 6, 6, 6, 7]",0.0
"[6, 6, 6, 6, 6, 6, 6]","[6, 6, 6, 6, 7]",0.5714285714285714
"[6, 6, 6, 6, 6, 6]","[6, 6, 6, 7]",0.5
"[6, 6, 6, 6, 6, 6]","[6, 6, 7]",0.33333333333333337
"[6, 6, 6, 6, 6, 6]","[6, 7]",0.16666666666666663
[7],[7],1.0
[],[],1.0
[],"[4, 4, 4]",0.0
[],"[4, 4]",0.0
[],[4],0.0
[],[],1.0
[],"[4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.0
[],"[4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.0
[],"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.0
[6],"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.09090909090909094
"[6, 6, 6, 6]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.4
[6],"[6, 6, 6, 6, 6, 6, 6, 6, 7]",0.11111111111111116
[6],"[6, 6, 6, 6, 6, 6, 6, 7]",0.125
[6],"[6, 6, 6, 6, 6, 6, 7]",0.1428571428571429
"[6, 7]","[6, 6, 6, 6, 6, 7]",0.33333333333333337
[6],"[6, 6, 6, 6, 7]",0.19999999999999996
"[6, 7]","[6, 6, 6, 7]",0.5
"[6, 7]","[6, 6, 7]",0.6666666666666667
"[6, 7]","[6, 7]",1.0
[],[7],0.0
[],[],1.0
[],[],1.0
[],[],1.0
[],"[6, 6, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.0
[6],"[6, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.07692307692307687
[7],"[7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.08333333333333337
[],"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.0
"[5, 7]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.19999999999999996
"[5, 5, 7]","[5, 5, 5, 5, 5, 5, 5, 5, 7]",0.33333333333333337
"[5, 5, 7]","[5, 5, 5, 5, 5, 5, 5, 7]",0.375
"[5, 5, 7]","[5, 5, 5, 5, 5, 5, 7]",0.4285714285714286
"[5, 5, 7]","[5, 5, 5, 5, 5, 7]",0.5
[7],"[5, 5, 5, 5, 7]",0.19999999999999996
"[5, 7]","[5, 5, 5, 7]",0.5
"[5, 7]","[5, 5, 7]",0.6666666666666667
"[5, 7]","[5, 7]",1.0
"[5, 7]",[7],0.5
[],[],1.0
[],"[4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
[],"[4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
[],"[4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
[],"[4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
[],"[4, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
[],"[6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
"[6, 6]","[6, 6, 6, 6, 6, 6, 6, 6]",0.25
[],"[6, 6, 6, 6, 6, 6, 6]",0.0
"[6, 6, 7]","[6, 6, 6, 6, 6, 6]",0.33333333333333337
"[6, 6, 6, 6, 6, 6, 6, 6, 6]","[6, 6, 6, 6, 6]",0.5555555555555556
"[6, 6, 6, 6, 6, 6, 6, 6]","[6, 6, 6, 6]",0.5
[],"[6, 6, 6]",0.0
"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[6, 6]",0.19999999999999996
[],[6],0.0
[],[],1.0
[],"[4, 4, 4, 4, 4, 4, 4]",0.0
[],"[4, 4, 4, 4, 4, 4]",0.0
[],"[4, 4, 4, 4, 4]",0.0
[],"[4, 4, 4, 4]",0.0
[4],"[4, 4, 4]",0.33333333333333337
"[4, 4, 4, 4, 4]","[4, 4]",0.4
"[4, 4, 4]",[4],0.33333333333333337
"[4, 4, 4]",[],0.0
[],[2],0.0
[],[],1.0
[3],"[3, 3, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.04761904761904767
[],"[3, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0
