prediction,truth,similarity
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 6, 6, 6, 6, 6, 6, 7]",0.08333333333333337
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 6, 6, 6, 6, 6, 6, 7]",0.050000000000000044
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[6, 6, 6, 6, 6, 6, 7]",0.0
"[6, 7]","[6, 6, 6, 6, 6, 7]",0.33333333333333337
"[6, 7]","[6, 6, 6, 6, 7]",0.4
"[6, 7]","[6, 6, 6, 7]",0.5
"[6, 6, 6, 6, 6, 6]","[6, 6, 7]",0.33333333333333337
"[6, 6, 6, 6, 6]","[6, 7]",0.19999999999999996
[7],[7],1.0
[],[],1.0
[],[],1.0
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.0
"[6, 6, 6, 6, 6]","[6, 6, 7, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.16666666666666663
"[6, 6, 6, 6, 6, 6]","[6, 7, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.09090909090909094
[7],"[7, 5, 5, 5, 5, 5, 5, 5, 5, 7]",0.09999999999999998
[],"[5, 5, 5, 5, 5, 5, 5, 5, 7]",0.0
"[5, 5, 7]","[5, 5, 5, 5, 5, 5, 5, 7]",0.375
"[5, 5, 7]","[5, 5, 5, 5, 5, 5, 7]",0.4285714285714286
"[5, 7]","[5, 5, 5, 5, 5, 7]",0.33333333333333337
"[5, 7]","[5, 5, 5, 5, 7]",0.4
[7],"[5, 5, 5, 7]",0.25
[7],"[5, 5, 7]",0.33333333333333337
"[5, 7]","[5, 7]",1.0
[7],[7],1.0
[],[],1.0
"[6, 7]","[6, 7]",1.0
[7],[7],1.0
[],[],1.0
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0
"[6, 6, 7]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.15384615384615385
"[6, 7]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.08333333333333337
"[6, 7]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.09090909090909094
"[6, 7]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.09999999999999998
"[6, 7]","[6, 6, 6, 6, 6, 6, 6, 6, 6]",0.11111111111111116
"[6, 7]","[6, 6, 6, 6, 6, 6, 6, 6]",0.125
"[6, 7]","[6, 6, 6, 6, 6, 6, 6]",0.1428571428571429
"[6, 7]","[6, 6, 6, 6, 6, 6]",0.16666666666666663
"[6, 7]","[6, 6, 6, 6, 6]",0.19999999999999996
"[6, 6]","[6, 6, 6, 6]",0.5
"[6, 6]","[6, 6, 6]",0.6666666666666667
[6],"[6, 6]",0.5
[6],[6],1.0
[],[],1.0
[],"[4, 4, 4]",0.0
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4]",0.1428571428571429
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",[4],0.07692307692307687
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",[],0.0
[],[],1.0
[],[],1.0
[],"[4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7]",0.0
"[4, 6, 6, 6, 6, 6, 6]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7]",0.5
"[6, 6, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7]",0.16666666666666663
"[6, 7]","[6, 6, 6, 6, 6, 6, 6, 6, 7, 7]",0.19999999999999996
"[6, 6, 6, 6, 6]","[6, 6, 6, 6, 6, 6, 6, 7, 7]",0.5555555555555556
"[6, 6, 6, 6, 6, 6]","[6, 6, 6, 6, 6, 6, 7, 7]",0.75
"[6, 6, 6, 6, 6]","[6, 6, 6, 6, 6, 7, 7]",0.7142857142857143
[7],"[6, 6, 6, 6, 7, 7]",0.16666666666666663
[6],"[6, 6, 6, 7, 7]",0.19999999999999996
[7],"[6, 6, 7, 7]",0.25
"[6, 6]","[6, 7, 7]",0.33333333333333337
[7],"[7, 7]",0.5
[],[7],0.0
[],[],1.0
[],"[4, 6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.0
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[6, 6, 6, 7, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.0
"[6, 6, 6, 7]","[6, 6, 7, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.12
"[6, 6, 6, 7]","[6, 7, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.08333333333333337
[7],"[7, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.04347826086956519
[],"[5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.0
"[5, 7]","[5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.09523809523809523
"[5, 7]","[5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.09999999999999998
"[5, 7]","[5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.10526315789473684
"[5, 7]","[5, 5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.11111111111111116
"[5, 7]","[5, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.11764705882352944
"[5, 7]","[5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.125
[7],"[7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.06666666666666665
[],"[5, 5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.0
"[5, 7]","[5, 5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.15384615384615385
[7],"[5, 7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.08333333333333337
[7],"[7, 7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.09090909090909094
[7],"[7, 5, 5, 5, 5, 5, 7, 5, 5, 7]",0.09999999999999998
[],"[5, 5, 5, 5, 5, 7, 5, 5, 7]",0.0
"[5, 7]","[5, 5, 5, 5, 7, 5, 5, 7]",0.25
"[5, 7]","[5, 5, 5, 7, 5, 5, 7]",0.2857142857142857
"[5, 7]","[5, 5, 7, 5, 5, 7]",0.33333333333333337
[7],"[5, 7, 5, 5, 7]",0.19999999999999996
[7],"[7, 5, 5, 7]",0.25
[],"[5, 5, 7]",0.0
[],"[5, 7]",0.0
[7],[7],1.0
[],[],1.0
[],[],1.0
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",[],0.0
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 4, 6, 6, 6, 6, 6, 7, 7]",0.125
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 6, 6, 6, 6, 6, 7, 7]",0.10526315789473684
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 6, 6, 6, 6, 6, 7, 7]",0.04166666666666663
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[6, 6, 6, 6, 6, 7, 7]",0.0
"[6, 6, 7]","[6, 6, 6, 6, 7, 7]",0.5
"[6, 6, 6, 6, 6, 6, 6, 6]","[6, 6, 6, 7, 7]",0.375
"[6, 6, 6, 6, 6, 6, 6]","[6, 6, 7, 7]",0.2857142857142857
"[6, 6, 6, 6, 6]","[6, 7, 7]",0.19999999999999996
"[6, 6, 6, 6, 6]","[7, 7]",0.0
"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",[7],0.0
"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",[],0.0
[],"[4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.0
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.21052631578947367
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.2142857142857143
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.11764705882352944
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]",0.050000000000000044
