prediction,truth,similarity
"[3, 11]","[3, 13, 3, 7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.02564102564102566
[11],"[13, 3, 7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.0
"[3, 13, 3, 2, 3, 12, 10]","[3, 7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.18918918918918914
"[13, 3, 13, 3, 2, 3, 12, 10]","[7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.2222222222222222
"[12, 10]","[13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.05714285714285716
"[3, 13, 3, 13, 3, 2, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 2, 3, 12, 10]","[3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.5
"[2, 3, 13, 3, 13, 3, 13, 3, 2, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 2, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 2, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 2, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 2, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13, 3, 13]","[6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.17886178861788615
"[12, 10]","[3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.0625
"[12, 10]","[6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.06451612903225812
"[12, 10]","[3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.06666666666666665
"[12, 10]","[2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.06896551724137934
"[3, 13, 3, 2, 3, 12, 10]","[3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.25
"[13, 3, 4, 3, 12, 10]","[7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.2222222222222222
"[12, 10]","[4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.07692307692307687
"[3, 12, 10]","[2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.12
"[3, 13, 3, 2, 3, 4, 12, 10]","[3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.33333333333333337
"[4, 3, 12, 10]","[4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.17391304347826086
"[3, 12, 10]","[3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.13636363636363635
"[12, 10]","[13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.09523809523809523
"[3, 12, 10]","[3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.15000000000000002
"[4, 12, 10]","[2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.1578947368421053
"[3, 12, 10]","[3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.16666666666666663
"[12, 10]","[7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.11764705882352944
"[12, 10]","[3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.125
"[12, 10]","[4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.1333333333333333
"[3, 12, 10]","[3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.2142857142857143
"[12, 10]","[4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.15384615384615385
"[3, 12, 10]","[13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.25
"[3, 12, 10]","[3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.2727272727272727
"[12, 10]","[3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.19999999999999996
"[12, 10]","[2, 3, 6, 13, 3, 13, 3, 12, 10]",0.2222222222222222
"[3, 12, 10]","[3, 6, 13, 3, 13, 3, 12, 10]",0.375
"[12, 10]","[6, 13, 3, 13, 3, 12, 10]",0.2857142857142857
"[12, 10]","[13, 3, 13, 3, 12, 10]",0.33333333333333337
"[3, 12, 10]","[3, 13, 3, 12, 10]",0.6
"[12, 10]","[13, 3, 12, 10]",0.5
"[3, 12, 10]","[3, 12, 10]",1.0
"[12, 10]","[12, 10]",1.0
[10],[10],1.0
[],[],1.0
"[3, 13, 3, 2, 3, 7, 3, 12, 10]","[3, 13, 3, 13, 3, 7, 3, 13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.17647058823529416
"[13, 3, 2, 3, 7, 3, 12, 10]","[13, 3, 13, 3, 7, 3, 13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.16000000000000003
"[3, 13, 3, 2, 3, 7, 3, 12, 10]","[3, 13, 3, 7, 3, 13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.18367346938775508
"[13, 3, 12, 10]","[13, 3, 7, 3, 13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.08333333333333337
"[3, 13, 3, 2, 3, 7, 3, 12, 10]","[3, 7, 3, 13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.19148936170212771
"[7, 3, 12, 10]","[7, 3, 13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.08695652173913049
"[3, 12, 10]","[3, 13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.06666666666666665
"[13, 3, 13, 3, 2, 3, 7, 3, 12, 10]","[13, 3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.2272727272727273
"[3, 13, 3, 2, 3, 7, 3, 12, 10]","[3, 2, 3, 13, 3, 7, 3, 7, 3, 13, 3, 2, 3, 13, 3, 2, 3, 7, 7, 7, 7, 3, 4, 3, 13, 3, 13, 3, 13, 3, 13, 3, 7, 3, 13, 3, 13, 3, 13, 3, 3, 12, 10]",0.2093023255813954
