prediction,truth,similarity
"[3, 13, 3, 7, 7, 12, 10]","[3, 7, 13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.368421052631579
"[7, 13, 3, 13, 3, 7, 7, 12, 10]","[7, 13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.5
"[7, 12, 10]","[13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.17647058823529416
"[3, 13, 3, 7, 7, 12, 10]","[3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.4375
"[13, 3, 13, 3, 7, 7, 12, 10]","[13, 3, 2, 3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.5333333333333333
"[3, 13, 3, 7, 7, 12, 10]","[3, 2, 3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.5
"[7, 7, 12, 10]","[2, 3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.3076923076923077
"[3, 7, 7, 12, 10]","[3, 7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.41666666666666663
"[7, 7, 12, 10]","[7, 13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.36363636363636365
"[7, 12, 10]","[13, 3, 13, 3, 2, 3, 7, 7, 12, 10]",0.30000000000000004
"[3, 13, 3, 7, 7, 12, 10]","[3, 13, 3, 2, 3, 7, 7, 12, 10]",0.7777777777777778
"[13, 3, 7, 7, 12, 10]","[13, 3, 2, 3, 7, 7, 12, 10]",0.75
"[3, 13, 3, 7, 7, 12, 10]","[3, 2, 3, 7, 7, 12, 10]",0.8571428571428572
"[7, 7, 7, 7, 12, 10]","[2, 3, 7, 7, 12, 10]",0.6666666666666667
"[3, 7, 7, 12, 10]","[3, 7, 7, 12, 10]",1.0
"[7, 7, 12, 10]","[7, 7, 12, 10]",1.0
"[7, 12, 10]","[7, 12, 10]",1.0
"[12, 10]","[12, 10]",1.0
