prediction,truth,similarity
"[3, 7, 2, 3, 6]","[7, 3, 4, 3, 6]",0.4
"[3, 2, 3, 6]","[3, 4, 3, 6]",0.75
[6],"[4, 3, 6]",0.33333333333333337
[6],"[3, 6]",0.5
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",1.0
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 7, 3, 2, 3, 6]","[4, 6]",0.16666666666666663
"[3, 3, 7, 3, 2, 3, 6, 3, 7, 3, 2, 7, 3, 6]",[6],0.0714285714285714
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[4, 6]",0.5
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[4, 6]",[6],0.5
[],[],1.0
"[4, 3, 6]","[4, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],"[7, 3, 7, 3, 6]",0.19999999999999996
"[3, 7, 3, 3, 6]","[3, 7, 3, 6]",0.8
"[7, 3, 7, 3, 6]","[7, 3, 6]",0.6
"[3, 7, 3, 3, 6]","[3, 6]",0.4
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[3, 6]","[3, 6]",1.0
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
[6],"[7, 3, 4, 6]",0.25
"[3, 4, 3, 6]","[3, 4, 6]",0.75
"[4, 6]","[4, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],"[7, 7, 3, 6]",0.25
"[3, 6]","[7, 3, 6]",0.6666666666666667
"[3, 6, 3, 6]","[3, 6]",0.5
[6],[6],1.0
[],[],1.0
"[2, 4, 6]",[6],0.33333333333333337
[],[],1.0
"[3, 7, 3, 7, 3, 7, 7, 3, 7, 3, 6]","[3, 2, 2, 3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.5625
"[7, 3, 7, 3, 2, 6]","[2, 2, 3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.33333333333333337
"[7, 3, 3, 6]","[2, 3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.2857142857142857
"[7, 3, 7, 3, 6]","[3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.3846153846153846
"[7, 3, 7, 3, 2, 3, 6]","[3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.5
"[7, 3, 7, 3, 6]","[7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.4545454545454546
"[3, 7, 3, 6]","[3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.4
"[7, 3, 6]","[7, 3, 6, 3, 6, 3, 7, 3, 6]",0.33333333333333337
"[3, 7, 3, 6]","[3, 6, 3, 6, 3, 7, 3, 6]",0.5
"[7, 3, 6]","[6, 3, 6, 3, 7, 3, 6]",0.4285714285714286
"[3, 7, 3, 6]","[3, 6, 3, 7, 3, 6]",0.6666666666666667
[6],"[6, 3, 7, 3, 6]",0.19999999999999996
"[3, 2, 3, 6]","[3, 7, 3, 6]",0.75
"[2, 2, 3, 6]","[7, 3, 6]",0.5
"[2, 3, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
"[4, 3, 4, 7, 3, 2, 2, 6]","[4, 6, 3, 7, 3, 6]",0.5
"[3, 4, 7, 3, 2, 2, 6]","[6, 3, 7, 3, 6]",0.4285714285714286
"[3, 6]","[3, 7, 3, 6]",0.5
"[7, 3, 6]","[7, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
"[2, 3, 3, 6, 3, 6, 3, 6]",[6],0.125
[],[],1.0
"[7, 3, 2, 6]","[7, 3, 2, 7, 3, 2, 2, 7, 3, 4, 2, 3, 6]",0.3076923076923077
"[3, 4, 2, 7, 2, 3, 6]","[3, 2, 7, 3, 2, 2, 7, 3, 4, 2, 3, 6]",0.5
"[2, 6]","[2, 7, 3, 2, 2, 7, 3, 4, 2, 3, 6]",0.18181818181818177
"[7, 3, 2, 3, 2, 3, 6]","[7, 3, 2, 2, 7, 3, 4, 2, 3, 6]",0.7
"[3, 2, 3, 6, 3, 7, 3, 6, 3, 6]","[3, 2, 2, 7, 3, 4, 2, 3, 6]",0.5
"[2, 3, 6]","[2, 2, 7, 3, 4, 2, 3, 6]",0.375
"[3, 6]","[2, 7, 3, 4, 2, 3, 6]",0.2857142857142857
"[3, 6]","[7, 3, 4, 2, 3, 6]",0.33333333333333337
"[3, 6]","[3, 4, 2, 3, 6]",0.4
"[6, 3, 4, 3, 6]","[4, 2, 3, 6]",0.4
[6],"[2, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
"[3, 4, 6]",[],0.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 7, 3, 3, 6]","[3, 7, 7, 2, 7, 2, 7, 3, 6]",0.4444444444444444
"[7, 3, 7, 3, 6]","[7, 7, 2, 7, 2, 7, 3, 6]",0.5
"[3, 3, 3, 6]","[7, 2, 7, 2, 7, 3, 6]",0.2857142857142857
"[3, 3, 7, 3, 3, 6]","[2, 7, 2, 7, 3, 6]",0.33333333333333337
"[3, 6]","[7, 2, 7, 3, 6]",0.4
"[3, 3, 6]","[2, 7, 3, 6]",0.5
"[3, 6]","[7, 3, 6]",0.6666666666666667
"[3, 3, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
"[3, 6]","[3, 6]",1.0
"[7, 3, 7, 3, 6]",[6],0.19999999999999996
"[3, 6]",[],0.0
"[3, 6]","[3, 7, 3, 6, 3, 6, 3, 6]",0.25
"[7, 3, 7, 3, 6]","[7, 3, 6, 3, 6, 3, 6]",0.5714285714285714
"[3, 7, 3, 6]","[3, 6, 3, 6, 3, 6]",0.5
"[7, 3, 6]","[6, 3, 6, 3, 6]",0.4
"[3, 7, 3, 6]","[3, 6, 3, 6]",0.75
"[7, 3, 6]","[6, 3, 6]",0.6666666666666667
[],"[3, 6]",0.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[4, 6]",0.5
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
[6],"[6, 3, 6]",0.33333333333333337
[],"[3, 6]",0.0
[6],[6],1.0
[],[],1.0
"[4, 2, 4, 2, 4, 6]","[4, 6]",0.33333333333333337
"[2, 4, 2, 4, 6]",[6],0.19999999999999996
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 2, 4, 7, 3, 2, 3, 6]",0.4545454545454546
"[3, 2, 3, 6]","[3, 2, 3, 2, 4, 7, 3, 2, 3, 6]",0.4
"[2, 3, 6]","[2, 3, 2, 4, 7, 3, 2, 3, 6]",0.33333333333333337
"[3, 6]","[3, 2, 4, 7, 3, 2, 3, 6]",0.25
"[4, 3, 7, 3, 3, 2, 3, 6]","[2, 4, 7, 3, 2, 3, 6]",0.625
"[3, 7, 3, 2, 3, 6]","[4, 7, 3, 2, 3, 6]",0.8333333333333334
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",1.0
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
"[4, 7, 2, 4, 6]","[7, 3, 2, 2, 6]",0.4
"[7, 3, 7, 7, 3, 6]","[3, 2, 2, 6]",0.33333333333333337
"[7, 3, 6]","[2, 2, 6]",0.33333333333333337
"[7, 3, 6]","[2, 6]",0.33333333333333337
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
