prediction,truth,similarity
"[7, 6]","[7, 6, 11, 10, 4, 9, 8]",0.2857142857142857
[6],"[6, 11, 10, 4, 9, 8]",0.16666666666666663
[],"[11, 10, 4, 9, 8]",0.0
[4],"[10, 4, 9, 8]",0.25
"[4, 9, 8]","[4, 9, 8]",1.0
"[9, 8, 3, 4, 11, 12]","[9, 8]",0.33333333333333337
[8],[8],1.0
"[3, 4, 11, 12]",[],0.0
"[7, 6]","[9, 7, 11, 4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.1428571428571429
"[7, 6, 8, 10, 11, 4, 3, 13]","[7, 11, 4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.3846153846153846
"[6, 8, 10, 11, 4, 3, 13]","[11, 4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.33333333333333337
"[10, 4, 10, 6, 8, 3, 12]","[4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.4545454545454546
"[10, 6, 8, 3, 12]","[10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.5
"[6, 8, 3, 10, 11, 3, 3, 11, 4, 4, 11, 11, 4, 11, 12]","[6, 8, 3, 3, 11, 4, 4, 12, 17]",0.4666666666666667
[8],"[8, 3, 3, 11, 4, 4, 12, 17]",0.125
[],"[3, 3, 11, 4, 4, 12, 17]",0.0
"[4, 11, 3, 4, 11, 4, 12, 17]","[3, 11, 4, 4, 12, 17]",0.625
"[3, 11, 4, 3, 11, 4, 11, 4, 12]","[11, 4, 4, 12, 17]",0.33333333333333337
"[4, 3, 11, 4, 11, 4, 12]","[4, 4, 12, 17]",0.2857142857142857
[12],"[4, 12, 17]",0.33333333333333337
"[11, 12]","[12, 17]",0.0
[],[17],0.0
[],[],1.0
"[7, 6]","[7, 6, 9, 4, 11, 10, 8, 10]",0.25
[6],"[6, 9, 4, 11, 10, 8, 10]",0.1428571428571429
[],"[9, 4, 11, 10, 8, 10]",0.0
"[11, 10, 4, 8]","[4, 11, 10, 8, 10]",0.4
"[11, 10, 8]","[11, 10, 8, 10]",0.75
"[10, 8]","[10, 8, 10]",0.6666666666666667
[8],"[8, 10]",0.5
[],[10],0.0
[],[],1.0
"[7, 6]","[7, 6, 11, 4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.0714285714285714
[6],"[6, 11, 4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.03703703703703709
[],"[11, 4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.0
[4],"[4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.040000000000000036
[],"[10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.0
[],"[9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.0
[8],"[8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.045454545454545414
