prediction,truth,similarity
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 6]","[3, 3, 3, 6]",0.5
"[4, 6]","[3, 3, 6]",0.33333333333333337
"[4, 6]","[3, 6]",0.5
"[4, 6]",[6],0.5
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 7, 3, 7, 3, 2, 3, 6]",[6],0.125
[],[],1.0
"[7, 3, 2, 6]","[7, 3, 2, 3, 6, 3, 7, 3, 6, 3, 6]",0.36363636363636365
"[3, 4, 2, 7, 2, 3, 6]","[3, 2, 3, 6, 3, 7, 3, 6, 3, 6]",0.4
"[4, 6]","[2, 3, 6, 3, 7, 3, 6, 3, 6]",0.11111111111111116
"[3, 6]","[3, 6, 3, 7, 3, 6, 3, 6]",0.25
[6],"[6, 3, 7, 3, 6, 3, 6]",0.1428571428571429
[],"[3, 7, 3, 6, 3, 6]",0.0
[6],"[7, 3, 6, 3, 6]",0.19999999999999996
"[3, 6]","[3, 6, 3, 6]",0.5
"[4, 6]","[6, 3, 6]",0.33333333333333337
[],"[3, 6]",0.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 3, 4, 6]","[3, 7, 3, 6]",0.5
"[3, 4, 6]","[7, 3, 6]",0.33333333333333337
"[3, 7, 3, 6]","[3, 6]",0.5
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 6]","[2, 3, 4, 6]",0.5
"[4, 6]","[3, 4, 6]",0.6666666666666667
"[4, 6]","[4, 6]",1.0
"[2, 6]",[6],0.5
[],[],1.0
"[4, 6]","[4, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[4, 6]",0.5
"[3, 6]",[6],0.5
"[3, 6]",[],0.0
"[4, 6]","[4, 6]",1.0
[6],[6],1.0
[],[],1.0
"[4, 4, 3, 6]",[6],0.25
[],[],1.0
[6],"[7, 3, 2, 3, 6]",0.19999999999999996
"[3, 6]","[3, 2, 3, 6]",0.5
[6],"[2, 3, 6]",0.33333333333333337
[6],"[3, 6]",0.5
[6],[6],1.0
[],[],1.0
"[4, 6]",[6],0.5
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",1.0
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 6]","[7, 3, 2, 7, 3, 2, 3, 2, 3, 6]",0.4
"[3, 4, 2, 7, 2, 3, 6]","[3, 2, 7, 3, 2, 3, 2, 3, 6]",0.5555555555555556
"[2, 2, 4, 2, 7, 3, 2, 3, 2, 7, 3, 3, 6]","[2, 7, 3, 2, 3, 2, 3, 6]",0.6153846153846154
"[7, 3, 2, 2, 7, 3, 4, 2, 3, 6]","[7, 3, 2, 3, 2, 3, 6]",0.7
"[3, 2, 2, 7, 3, 4, 2, 3, 6]","[3, 2, 3, 2, 3, 6]",0.6666666666666667
"[2, 3, 6]","[2, 3, 2, 3, 6]",0.6
"[3, 6]","[3, 2, 3, 6]",0.5
[6],"[2, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],"[8, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 3, 7, 7, 3, 5, 3, 6]","[3, 3, 2, 2, 3, 6]",0.5
"[3, 7, 7, 3, 5, 3, 6]","[3, 2, 2, 3, 6]",0.4285714285714286
"[7, 3, 7, 3, 2, 7, 3, 3, 6]","[2, 2, 3, 6]",0.33333333333333337
"[3, 6]","[2, 3, 6]",0.6666666666666667
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[4, 6]","[4, 4, 6]",0.6666666666666667
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[7, 3, 4, 6]","[4, 7, 3, 4, 3, 4, 2, 6]",0.5
[6],"[7, 3, 4, 3, 4, 2, 6]",0.1428571428571429
"[3, 6]","[3, 4, 3, 4, 2, 6]",0.33333333333333337
[6],"[4, 3, 4, 2, 6]",0.19999999999999996
[6],"[3, 4, 2, 6]",0.25
[6],"[4, 2, 6]",0.33333333333333337
[6],"[2, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[4, 3, 3, 6]","[2, 3, 4, 6]",0.5
"[3, 3, 6]","[3, 4, 6]",0.6666666666666667
"[3, 6]","[4, 6]",0.5
"[3, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[3, 4, 6]","[3, 7, 3, 6]",0.5
[6],"[7, 3, 6]",0.33333333333333337
"[3, 4, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 2, 3, 7, 3, 2, 3, 6]",0.4545454545454546
"[3, 2, 3, 6]","[3, 2, 3, 2, 3, 7, 3, 2, 3, 6]",0.4
"[2, 3, 6]","[2, 3, 2, 3, 7, 3, 2, 3, 6]",0.33333333333333337
"[3, 6]","[3, 2, 3, 7, 3, 2, 3, 6]",0.25
"[2, 4, 7, 3, 2, 3, 6]","[2, 3, 7, 3, 2, 3, 6]",0.8571428571428572
"[4, 7, 3, 2, 3, 6]","[3, 7, 3, 2, 3, 6]",0.8333333333333334
"[4, 7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",0.8333333333333334
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 4, 7, 2, 7, 3, 4, 2, 4, 7, 3, 6]",[6],0.07692307692307687
"[3, 6]",[],0.0
"[7, 3, 4, 6]","[7, 3, 2, 3, 6]",0.6
"[3, 4, 6]","[3, 2, 3, 6]",0.5
[6],"[2, 3, 6]",0.33333333333333337
[6],"[3, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],"[7, 7, 3, 6]",0.25
"[3, 6]","[7, 3, 6]",0.6666666666666667
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[3, 6, 3, 6]",0.5
[6],"[6, 3, 6]",0.33333333333333337
[],"[3, 6]",0.0
[6],[6],1.0
[],[],1.0
"[7, 3, 7, 3, 3, 4, 3, 6]",[6],0.125
[],[],1.0
[6],"[4, 3, 6, 3, 3, 6]",0.16666666666666663
[6],"[3, 6, 3, 3, 6]",0.19999999999999996
[6],"[6, 3, 3, 6]",0.25
[],"[3, 3, 6]",0.0
[6],"[3, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],"[2, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[2, 3, 6]",[6],0.33333333333333337
[],[],1.0
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
"[7, 3, 7, 3, 4, 6]","[7, 3, 2, 7, 2, 3, 3, 2, 4, 6]",0.6
"[3, 7, 3, 4, 6]","[3, 2, 7, 2, 3, 3, 2, 4, 6]",0.5555555555555556
"[7, 3, 2, 6]","[2, 7, 2, 3, 3, 2, 4, 6]",0.5
"[7, 3, 4, 6]","[7, 2, 3, 3, 2, 4, 6]",0.5714285714285714
"[3, 4, 6]","[2, 3, 3, 2, 4, 6]",0.5
[6],"[3, 3, 2, 4, 6]",0.19999999999999996
"[4, 6]","[3, 2, 4, 6]",0.5
[6],"[2, 4, 6]",0.33333333333333337
"[3, 6]","[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 7, 3, 4, 7, 3, 6]",[6],0.1428571428571429
"[3, 7, 3, 6]",[],0.0
"[3, 2, 3, 6]","[7, 3, 3, 6, 3, 6]",0.5
"[3, 4, 3, 6]","[3, 3, 6, 3, 6]",0.6
"[2, 3, 6]","[3, 6, 3, 6]",0.5
"[7, 3, 2, 3, 6]","[6, 3, 6]",0.4
[],"[3, 6]",0.0
"[2, 7, 2, 3, 6]",[6],0.19999999999999996
[],[],1.0
"[3, 2, 3, 4, 3, 6]","[7, 3, 7, 3, 7, 3, 2, 7, 3, 7, 3, 3, 6]",0.3846153846153846
"[3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 3, 7]","[3, 7, 3, 7, 3, 2, 7, 3, 7, 3, 3, 6]",0.4
"[7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 3, 7, 3, 3]","[7, 3, 7, 3, 2, 7, 3, 7, 3, 3, 6]",0.375
"[3, 2, 3, 4, 3, 7, 7, 3, 6]","[3, 7, 3, 2, 7, 3, 7, 3, 3, 6]",0.6
"[2, 4, 3, 3, 6]","[7, 3, 2, 7, 3, 7, 3, 3, 6]",0.4444444444444444
"[3, 2, 7, 3, 3, 6]","[3, 2, 7, 3, 7, 3, 3, 6]",0.75
"[2, 7, 3, 3, 6]","[2, 7, 3, 7, 3, 3, 6]",0.7142857142857143
"[7, 3, 3, 6]","[7, 3, 7, 3, 3, 6]",0.6666666666666667
"[3, 2, 3, 2, 7, 3, 6]","[3, 7, 3, 3, 6]",0.5714285714285714
"[2, 4, 3, 6]","[7, 3, 3, 6]",0.5
"[3, 2, 3, 2, 7, 3, 6]","[3, 3, 6]",0.4285714285714286
"[2, 3, 6]","[3, 6]",0.6666666666666667
"[2, 7, 3, 3, 6]",[6],0.19999999999999996
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6, 3, 7, 2, 7, 3, 2, 3, 6]",0.3846153846153846
"[3, 2, 3, 6]","[3, 2, 3, 6, 3, 7, 2, 7, 3, 2, 3, 6]",0.33333333333333337
"[2, 3, 6]","[2, 3, 6, 3, 7, 2, 7, 3, 2, 3, 6]",0.2727272727272727
"[3, 6]","[3, 6, 3, 7, 2, 7, 3, 2, 3, 6]",0.19999999999999996
[6],"[6, 3, 7, 2, 7, 3, 2, 3, 6]",0.11111111111111116
[],"[3, 7, 2, 7, 3, 2, 3, 6]",0.0
"[4, 7, 3, 2, 4, 6]","[7, 2, 7, 3, 2, 3, 6]",0.5714285714285714
"[2, 4, 6]","[2, 7, 3, 2, 3, 6]",0.33333333333333337
"[4, 7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",0.8333333333333334
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],"[4, 7, 3, 3, 7, 3, 6]",0.1428571428571429
[6],"[7, 3, 3, 7, 3, 6]",0.16666666666666663
"[3, 6]","[3, 3, 7, 3, 6]",0.4
[6],"[3, 7, 3, 6]",0.25
[6],"[7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 3, 4, 6]","[7, 3, 4, 3, 4, 6]",0.8333333333333334
"[3, 2, 3, 4, 6]","[3, 4, 3, 4, 6]",0.8
"[4, 6]","[4, 3, 4, 6]",0.5
[6],"[3, 4, 6]",0.33333333333333337
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],"[7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[4, 6]","[4, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],"[7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 7, 3, 4, 6]","[7, 3, 7, 3, 4, 6]",1.0
"[3, 7, 3, 4, 6]","[3, 7, 3, 4, 6]",1.0
"[7, 3, 2, 7, 3, 6]","[7, 3, 4, 6]",0.5
"[3, 6]","[3, 4, 6]",0.6666666666666667
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[4, 6]",[6],0.5
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 7, 2, 4, 7, 3, 2, 3, 6]",0.4545454545454546
"[3, 2, 3, 6]","[3, 2, 7, 2, 4, 7, 3, 2, 3, 6]",0.4
"[2, 3, 6]","[2, 7, 2, 4, 7, 3, 2, 3, 6]",0.33333333333333337
"[3, 6]","[7, 2, 4, 7, 3, 2, 3, 6]",0.25
"[3, 2, 4, 7, 3, 2, 3, 6]","[2, 4, 7, 3, 2, 3, 6]",0.875
"[4, 7, 3, 2, 3, 6]","[4, 7, 3, 2, 3, 6]",1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",1.0
