prediction,truth,similarity
"[3, 12, 10]","[3, 13, 3, 7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.07692307692307687
[11],"[13, 3, 7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.0
"[3, 12, 10]","[3, 7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.08108108108108103
"[12, 10]","[7, 13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.05555555555555558
"[12, 10]","[13, 3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.05714285714285716
"[3, 12, 10]","[3, 6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.08823529411764708
"[12, 10]","[6, 3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.06060606060606055
"[12, 10]","[3, 6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.0625
"[12, 10]","[6, 3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.06451612903225812
"[12, 10]","[3, 2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.06666666666666665
"[12, 10]","[2, 3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.06896551724137934
"[3, 12, 10]","[3, 7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.1071428571428571
"[7, 12, 10]","[7, 4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.11111111111111116
"[12, 10]","[4, 2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.07692307692307687
"[12, 10]","[2, 3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.07999999999999996
"[3, 7, 12, 10]","[3, 4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.16666666666666663
"[7, 12, 10]","[4, 3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.13043478260869568
"[12, 10]","[3, 13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.09090909090909094
"[12, 10]","[13, 3, 2, 3, 7, 3, 4, 3, 4, 13, 3, 3, 2, 3, 6, 13, 3, 13, 3, 12, 10]",0.09523809523809523
