prediction,truth,similarity
[6],"[7, 2, 7, 3, 4, 7, 3, 6]",0.125
"[3, 2, 3, 6]","[2, 7, 3, 4, 7, 3, 6]",0.4285714285714286
"[3, 6]","[7, 3, 4, 7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 4, 7, 3, 6]",0.4
[6],"[4, 7, 3, 6]",0.25
[6],"[7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
"[2, 3, 6]",[6],0.33333333333333337
[],[],1.0
[6],"[4, 3, 7, 3, 7, 3, 6]",0.1428571428571429
[6],"[3, 7, 3, 7, 3, 6]",0.16666666666666663
[6],"[7, 3, 7, 3, 6]",0.19999999999999996
"[3, 6]","[3, 7, 3, 6]",0.5
[6],"[7, 3, 6]",0.33333333333333337
"[2, 3, 2, 3, 6]","[3, 6]",0.4
"[2, 2, 3, 6]",[6],0.25
[],[],1.0
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],"[7, 3, 7, 3, 6]",0.19999999999999996
"[3, 2, 3, 6]","[3, 7, 3, 6]",0.75
"[4, 2, 4, 6]","[7, 3, 6]",0.25
"[3, 7, 3, 6]","[3, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],"[3, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],"[4, 6, 3, 7, 3, 6]",0.16666666666666663
[6],"[6, 3, 7, 3, 6]",0.19999999999999996
[],"[3, 7, 3, 6]",0.0
"[7, 3, 6]","[7, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],"[7, 3, 2, 3, 6]",0.19999999999999996
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[7, 3, 6]","[2, 3, 6]",0.6666666666666667
"[4, 6]","[3, 6]",0.5
[6],[6],1.0
[],[],1.0
[6],"[7, 2, 7, 3, 2, 3, 6]",0.1428571428571429
"[3, 2, 3, 6]","[2, 7, 3, 2, 3, 6]",0.6666666666666667
"[3, 6]","[7, 3, 2, 3, 6]",0.4
"[3, 6]","[3, 2, 3, 6]",0.5
[6],"[2, 3, 6]",0.33333333333333337
"[3, 7, 3, 2, 3, 6]","[3, 6]",0.33333333333333337
[6],[6],1.0
[],[],1.0
