prediction,truth,similarity
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 9, 21, 2, 7, 16, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.04166666666666663
[6],"[9, 21, 2, 7, 16, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.0
"[6, 21]","[21, 2, 7, 16, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.045454545454545414
"[6, 21]","[2, 7, 16, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.04761904761904767
"[16, 7, 14, 17, 21, 23, 13, 5, 23]","[7, 16, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.30000000000000004
"[16, 14, 17, 21, 23, 13, 5, 23]","[16, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.368421052631579
"[14, 17, 21, 23, 13, 5, 23]","[14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.33333333333333337
"[17, 21, 23, 13, 5, 23]","[17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.2941176470588235
"[21, 23, 13, 5, 23]","[21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.25
"[23, 13, 5, 23]","[13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.19999999999999996
"[5, 23]","[16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.1428571428571429
"[14, 17, 23, 23, 13, 5, 23]","[14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.46153846153846156
"[17, 23, 23, 13, 5, 23]","[17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.41666666666666663
"[23, 23, 13, 5, 23]","[23, 23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.36363636363636365
"[23, 13, 5, 23]","[23, 23, 23, 23, 23, 23, 23, 5, 13, 23]",0.30000000000000004
"[13, 5, 23]","[23, 23, 23, 23, 23, 23, 5, 13, 23]",0.2222222222222222
"[13, 5, 23]","[23, 23, 23, 23, 23, 5, 13, 23]",0.25
"[13, 5, 23]","[23, 23, 23, 23, 5, 13, 23]",0.2857142857142857
"[23, 5, 13]","[23, 23, 23, 5, 13, 23]",0.5
"[23, 23, 5, 13]","[23, 23, 5, 13, 23]",0.8
"[23, 5, 13]","[23, 5, 13, 23]",0.75
"[23, 23, 5, 13]","[5, 13, 23]",0.25
[13],"[13, 23]",0.5
[23],[23],1.0
[],[],1.0
"[8, 6]","[8, 6, 19]",0.6666666666666667
[6],"[6, 19]",0.5
[19],[19],1.0
[],[],1.0
"[8, 6]","[8, 9, 2, 16, 7, 14, 17, 21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.02777777777777779
[6],"[9, 2, 16, 7, 14, 17, 21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.0
"[6, 21]","[2, 16, 7, 14, 17, 21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.02941176470588236
"[16, 7, 14, 17, 21, 23, 13, 5, 23]","[16, 7, 14, 17, 21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.21212121212121215
"[7, 14, 17, 21, 23, 13, 5, 23]","[7, 14, 17, 21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.1875
"[14, 17, 21, 23, 13, 5, 23]","[14, 17, 21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.16129032258064513
"[17, 21, 23, 13, 5, 23]","[17, 21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.1333333333333333
"[21, 23, 13, 5, 23]","[21, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.10344827586206895
"[23, 13, 5, 23]","[23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.0714285714285714
"[13, 5, 23]","[23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.03703703703703709
"[13, 5, 23]","[23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.038461538461538436
"[13, 5, 23]","[23, 23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.040000000000000036
"[13, 5, 23]","[23, 18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.04166666666666663
"[23, 23, 23, 5, 13]","[18, 23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.04347826086956519
"[23, 15, 6, 24]","[23, 24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.09090909090909094
"[15, 6, 24]","[24, 22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.04761904761904767
"[15, 6, 24]","[22, 22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.050000000000000044
"[22, 22, 22, 24, 22, 22, 22]","[22, 22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.368421052631579
"[22, 22, 22, 16, 13]","[22, 22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.16666666666666663
"[22, 12, 4, 3, 10, 24]","[22, 24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.17647058823529416
"[15, 6, 24]","[24, 22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.0625
"[12, 10, 4, 3, 24]","[22, 24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.19999999999999996
"[12, 4, 3, 10, 24]","[24, 22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.1428571428571429
"[12, 10, 4, 3, 24]","[22, 22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.23076923076923073
"[12, 4, 3, 10, 24]","[22, 22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.16666666666666663
"[12, 4, 3, 10, 24]","[22, 22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.18181818181818177
"[22, 12, 10, 4, 3]","[22, 22, 22, 22, 22, 4, 10, 12, 3, 24]",0.30000000000000004
"[22, 22, 16, 13, 14, 17, 22]","[22, 22, 22, 22, 4, 10, 12, 3, 24]",0.2222222222222222
"[22, 12, 10, 4, 3]","[22, 22, 22, 4, 10, 12, 3, 24]",0.375
"[22, 24, 22, 22, 22, 22, 22]","[22, 22, 4, 10, 12, 3, 24]",0.1428571428571429
"[15, 6, 24]","[22, 4, 10, 12, 3, 24]",0.16666666666666663
"[15, 6, 24]","[4, 10, 12, 3, 24]",0.19999999999999996
"[12, 3, 10, 24]","[10, 12, 3, 24]",0.5
"[12, 3, 24]","[12, 3, 24]",1.0
"[3, 24]","[3, 24]",1.0
[24],[24],1.0
[],[],1.0
"[8, 6]","[8, 6, 19]",0.6666666666666667
[6],"[6, 19]",0.5
[19],[19],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 6, 19]",0.6666666666666667
[6],"[6, 19]",0.5
[19],[19],1.0
[],[],1.0
"[8, 6]","[8, 6]",1.0
[6],[6],1.0
[],[],1.0
"[8, 6]","[8, 19, 9, 19, 21, 2, 7, 16, 14, 17, 21, 18, 23, 24, 15, 6, 24]",0.11764705882352944
[6],"[19, 9, 19, 21, 2, 7, 16, 14, 17, 21, 18, 23, 24, 15, 6, 24]",0.0625
"[6, 19]","[9, 19, 21, 2, 7, 16, 14, 17, 21, 18, 23, 24, 15, 6, 24]",0.06666666666666665
"[19, 6, 21]","[19, 21, 2, 7, 16, 14, 17, 21, 18, 23, 24, 15, 6, 24]",0.1428571428571429
