prediction,truth,similarity
"[8, 6]","[8, 9, 21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.040000000000000036
[6],"[9, 21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.0
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.08695652173913049
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.045454545454545414
"[16, 7, 14, 17, 21, 23, 23, 23, 23, 23, 23, 5, 13]","[7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.33333333333333337
"[16, 14, 17, 21, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.4
"[14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.4736842105263158
"[17, 21, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.33333333333333337
"[21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.4117647058823529
"[13, 16, 14, 17, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.375
"[5, 13, 23]","[16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.1333333333333333
"[13, 14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.4285714285714286
"[14, 17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.3846153846153846
"[17, 23, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.33333333333333337
"[23, 23, 23, 23, 23, 23, 23, 23, 5, 13]","[23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.2727272727272727
"[23, 23, 23, 23, 23, 23, 23, 5, 13]","[23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.19999999999999996
"[23, 23, 23, 23, 23, 23, 5, 13]","[18, 23, 24, 24, 12, 4, 10, 3, 24]",0.11111111111111116
"[23, 15, 6, 24]","[23, 24, 24, 12, 4, 10, 3, 24]",0.25
"[15, 6, 24]","[24, 24, 12, 4, 10, 3, 24]",0.1428571428571429
