prediction,truth,similarity
"[7, 6, 11, 4]","[11, 4, 10, 7, 6, 9, 8, 3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.19047619047619047
"[4, 10, 7, 6, 8]","[4, 10, 7, 6, 9, 8, 3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.25
"[10, 7, 6, 8]","[10, 7, 6, 9, 8, 3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.21052631578947367
"[7, 6, 8]","[7, 6, 9, 8, 3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.16666666666666663
"[6, 8, 3, 9]","[6, 9, 8, 3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.17647058823529416
"[9, 8, 3]","[9, 8, 3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.1875
[8],"[8, 3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.06666666666666665
"[2, 10, 4, 11, 13]","[3, 4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.1428571428571429
[],"[4, 11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.0
"[11, 12]","[11, 11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.16666666666666663
[],"[11, 4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.0
"[4, 12]","[4, 11, 4, 4, 11, 11, 4, 4, 11, 12]",0.19999999999999996
[],"[11, 4, 4, 11, 11, 4, 4, 11, 12]",0.0
[12],"[4, 4, 11, 11, 4, 4, 11, 12]",0.125
"[11, 12]","[4, 11, 11, 4, 4, 11, 12]",0.2857142857142857
"[11, 12]","[11, 11, 4, 4, 11, 12]",0.33333333333333337
[12],"[11, 4, 4, 11, 12]",0.19999999999999996
"[4, 12]","[4, 4, 11, 12]",0.5
[12],"[4, 11, 12]",0.33333333333333337
"[11, 12]","[11, 12]",1.0
[12],[12],1.0
[],[],1.0
"[7, 6, 11, 4]","[7, 6, 9, 8, 11, 10, 4, 3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.19999999999999996
"[6, 11, 4]","[6, 9, 8, 11, 10, 4, 3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.1578947368421053
"[11, 4]","[9, 8, 11, 10, 4, 3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.11111111111111116
"[8, 11, 10, 4]","[8, 11, 10, 4, 3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.23529411764705888
"[11, 10, 4]","[11, 10, 4, 3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.1875
"[10, 4]","[10, 4, 3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.1333333333333333
"[4, 3, 4, 11, 4, 11, 12]","[4, 3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.5
[],"[3, 11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.0
[12],"[11, 4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.08333333333333337
"[4, 3, 12]","[4, 4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.18181818181818177
"[3, 12]","[4, 11, 4, 11, 4, 11, 4, 11, 12, 17]",0.09999999999999998
"[11, 12]","[11, 4, 11, 4, 11, 4, 11, 12, 17]",0.2222222222222222
"[3, 12]","[4, 11, 4, 11, 4, 11, 12, 17]",0.125
"[11, 12]","[11, 4, 11, 4, 11, 12, 17]",0.2857142857142857
[12],"[4, 11, 4, 11, 12, 17]",0.16666666666666663
"[11, 12]","[11, 4, 11, 12, 17]",0.4
[12],"[4, 11, 12, 17]",0.25
"[11, 12]","[11, 12, 17]",0.6666666666666667
[12],"[12, 17]",0.5
[],[17],0.0
[],[],1.0
"[7, 6, 11, 4]","[7, 6, 11, 4, 3, 4, 11, 4, 12]",0.4444444444444444
"[6, 11, 4]","[6, 11, 4, 3, 4, 11, 4, 12]",0.375
"[11, 4]","[11, 4, 3, 4, 11, 4, 12]",0.2857142857142857
[4],"[4, 3, 4, 11, 4, 12]",0.16666666666666663
[],"[3, 4, 11, 4, 12]",0.0
[12],"[4, 11, 4, 12]",0.25
"[11, 12]","[11, 4, 12]",0.6666666666666667
[12],"[4, 12]",0.5
[12],[12],1.0
[],[],1.0
"[7, 6, 11, 4]","[7, 6, 9, 8, 4, 11, 10, 3, 2, 10, 11, 4, 10, 11, 4, 10, 10, 11, 4, 10, 11, 4, 10, 11, 4, 10, 11, 4, 11, 4, 10, 10, 11, 4, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 11, 4, 10, 4, 10, 11, 11, 10, 4, 10, 3, 3, 12]",0.048192771084337394
"[6, 11, 4]","[6, 9, 8, 4, 11, 10, 3, 2, 10, 11, 4, 10, 11, 4, 10, 10, 11, 4, 10, 11, 4, 10, 11, 4, 10, 11, 4, 11, 4, 10, 10, 11, 4, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 11, 4, 10, 4, 10, 11, 11, 10, 4, 10, 3, 3, 12]",0.03658536585365857
"[11, 4]","[9, 8, 4, 11, 10, 3, 2, 10, 11, 4, 10, 11, 4, 10, 10, 11, 4, 10, 11, 4, 10, 11, 4, 10, 11, 4, 11, 4, 10, 10, 11, 4, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 11, 4, 10, 4, 10, 11, 11, 10, 4, 10, 3, 3, 12]",0.024691358024691357
"[8, 11, 10, 4]","[8, 4, 11, 10, 3, 2, 10, 11, 4, 10, 11, 4, 10, 10, 11, 4, 10, 11, 4, 10, 11, 4, 10, 11, 4, 11, 4, 10, 10, 11, 4, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 10, 11, 4, 4, 10, 11, 11, 4, 10, 11, 4, 10, 4, 10, 11, 11, 10, 4, 10, 3, 3, 12]",0.050000000000000044
