prediction,truth,similarity
"[7, 6, 11, 4]","[7, 6, 9, 8, 10, 11, 4, 3, 10, 11, 4, 4, 11, 11, 4, 12]",0.25
"[6, 11, 4]","[6, 9, 8, 10, 11, 4, 3, 10, 11, 4, 4, 11, 11, 4, 12]",0.19999999999999996
"[11, 4]","[9, 8, 10, 11, 4, 3, 10, 11, 4, 4, 11, 11, 4, 12]",0.1428571428571429
"[8, 11, 4, 10, 3, 4, 11, 11, 4, 12, 17]","[8, 10, 11, 4, 3, 10, 11, 4, 4, 11, 11, 4, 12]",0.6153846153846154
"[11, 4, 10, 3, 4, 11, 11, 4, 12, 17]","[10, 11, 4, 3, 10, 11, 4, 4, 11, 11, 4, 12]",0.5833333333333333
"[11, 4, 3, 4, 11, 12]","[11, 4, 3, 10, 11, 4, 4, 11, 11, 4, 12]",0.5454545454545454
"[4, 3, 11, 4, 12]","[4, 3, 10, 11, 4, 4, 11, 11, 4, 12]",0.5
"[3, 3, 11, 4, 4, 11, 12]","[3, 10, 11, 4, 4, 11, 11, 4, 12]",0.6666666666666667
"[3, 11, 4, 11, 4, 12]","[10, 11, 4, 4, 11, 11, 4, 12]",0.625
"[3, 11, 4, 11, 4, 12, 17]","[11, 4, 4, 11, 11, 4, 12]",0.4285714285714286
"[4, 11, 4, 13]","[4, 4, 11, 11, 4, 12]",0.5
[13],"[4, 11, 11, 4, 12]",0.0
"[11, 10]","[11, 11, 4, 12]",0.25
"[11, 4, 13]","[11, 4, 12]",0.6666666666666667
"[4, 13]","[4, 12]",0.5
[13],[12],0.0
[17],[],0.0
"[7, 6, 4, 11]","[7, 6, 11, 10, 4, 9, 8, 3, 11, 11, 4, 11, 11, 4, 13]",0.2666666666666667
"[6, 4, 11]","[6, 11, 10, 4, 9, 8, 3, 11, 11, 4, 11, 11, 4, 13]",0.2142857142857143
"[4, 11]","[11, 10, 4, 9, 8, 3, 11, 11, 4, 11, 11, 4, 13]",0.15384615384615385
[4],"[10, 4, 9, 8, 3, 11, 11, 4, 11, 11, 4, 13]",0.08333333333333337
"[4, 9, 8, 3, 4, 11, 12]","[4, 9, 8, 3, 11, 11, 4, 11, 11, 4, 13]",0.5454545454545454
"[9, 8, 3, 4, 11, 12]","[9, 8, 3, 11, 11, 4, 11, 11, 4, 13]",0.5
"[8, 3, 4, 11, 12]","[8, 3, 11, 11, 4, 11, 11, 4, 13]",0.4444444444444444
"[3, 4, 11, 12]","[3, 11, 11, 4, 11, 11, 4, 13]",0.375
"[4, 11, 12]","[11, 11, 4, 11, 11, 4, 13]",0.2857142857142857
"[4, 4, 11, 12]","[11, 4, 11, 11, 4, 13]",0.33333333333333337
"[4, 12, 17]","[4, 11, 11, 4, 13]",0.19999999999999996
"[12, 17]","[11, 11, 4, 13]",0.0
"[4, 12, 17]","[11, 4, 13]",0.0
"[4, 12]","[4, 13]",0.5
"[12, 17]",[13],0.0
[],[],1.0
"[7, 6, 11, 4]","[7, 6, 11, 4, 3, 4, 12]",0.5714285714285714
"[6, 4, 11]","[6, 11, 4, 3, 4, 12]",0.33333333333333337
"[4, 11]","[11, 4, 3, 4, 12]",0.19999999999999996
[4],"[4, 3, 4, 12]",0.25
[],"[3, 4, 12]",0.0
[12],"[4, 12]",0.5
"[11, 11, 4, 11, 4, 12]",[12],0.16666666666666663
[],[],1.0
"[7, 6, 11, 4]","[7, 6, 11, 4, 10, 9, 8, 3, 11, 4, 12, 17]",0.33333333333333337
"[6, 11, 4]","[6, 11, 4, 10, 9, 8, 3, 11, 4, 12, 17]",0.2727272727272727
"[11, 4]","[11, 4, 10, 9, 8, 3, 11, 4, 12, 17]",0.19999999999999996
[4],"[4, 10, 9, 8, 3, 11, 4, 12, 17]",0.11111111111111116
[],"[10, 9, 8, 3, 11, 4, 12, 17]",0.0
"[9, 8, 3, 4, 11, 12]","[9, 8, 3, 11, 4, 12, 17]",0.5714285714285714
"[8, 3, 3, 11, 4, 12]","[8, 3, 11, 4, 12, 17]",0.6666666666666667
"[3, 4, 11, 12]","[3, 11, 4, 12, 17]",0.4
"[11, 4, 3, 11, 4, 12]","[11, 4, 12, 17]",0.33333333333333337
"[4, 12, 17]","[4, 12, 17]",1.0
"[12, 17]","[12, 17]",1.0
[],[17],0.0
[],[],1.0
"[7, 6, 11, 4]","[7, 6, 9, 11, 4, 8, 3, 4, 11, 12]",0.4
"[6, 11, 4]","[6, 9, 11, 4, 8, 3, 4, 11, 12]",0.33333333333333337
"[4, 11]","[9, 11, 4, 8, 3, 4, 11, 12]",0.25
"[8, 11, 4, 10, 3, 4, 11, 11, 4, 12, 17]","[11, 4, 8, 3, 4, 11, 12]",0.5454545454545454
"[10, 4, 8, 3, 4, 11, 4, 11, 12, 17]","[4, 8, 3, 4, 11, 12]",0.6
"[10, 8, 3, 11, 4, 11, 4, 12]","[8, 3, 4, 11, 12]",0.625
"[3, 12]","[3, 4, 11, 12]",0.5
[12],"[4, 11, 12]",0.33333333333333337
"[11, 3, 11, 4, 12, 17]","[11, 12]",0.33333333333333337
"[4, 11, 11, 4, 12, 17]",[12],0.16666666666666663
[17],[],0.0
"[7, 6, 4, 11]","[7, 6, 9, 8, 11, 10, 4, 3, 11, 4, 12, 17]",0.33333333333333337
"[6, 4, 11]","[6, 9, 8, 11, 10, 4, 3, 11, 4, 12, 17]",0.2727272727272727
"[4, 11]","[9, 8, 11, 10, 4, 3, 11, 4, 12, 17]",0.19999999999999996
"[8, 11, 4, 10, 3, 4, 11, 11, 4, 12, 17]","[8, 11, 10, 4, 3, 11, 4, 12, 17]",0.7272727272727273
"[11, 4, 10, 3, 4, 11, 11, 4, 12, 17]","[11, 10, 4, 3, 11, 4, 12, 17]",0.7
"[4, 10, 3, 4, 11, 11, 4, 12, 17]","[10, 4, 3, 11, 4, 12, 17]",0.6666666666666667
"[4, 3, 4, 11, 11, 4, 12]","[4, 3, 11, 4, 12, 17]",0.5714285714285714
[],"[3, 11, 4, 12, 17]",0.0
"[3, 11, 4, 4, 11, 12]","[11, 4, 12, 17]",0.33333333333333337
"[4, 11, 4, 12]","[4, 12, 17]",0.25
"[4, 11, 12]","[12, 17]",0.0
[],[17],0.0
[],[],1.0
