prediction,truth,similarity
"[4, 3, 3, 6]","[3, 4, 3, 3, 6]",0.8
"[4, 3, 3, 6]","[4, 3, 3, 6]",1.0
"[3, 3, 6]","[3, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 7, 3, 6]","[7, 3, 6]",0.6
"[3, 7, 3, 6]","[3, 6]",0.5
"[7, 3, 6]",[6],0.33333333333333337
"[3, 6]",[],0.0
"[4, 6]",[6],0.5
[],[],1.0
"[2, 3, 6]","[4, 7, 3, 3, 7, 3, 4, 6]",0.25
[6],"[7, 3, 3, 7, 3, 4, 6]",0.1428571428571429
"[3, 6]","[3, 3, 7, 3, 4, 6]",0.33333333333333337
[6],"[3, 7, 3, 4, 6]",0.19999999999999996
[6],"[7, 3, 4, 6]",0.25
"[3, 6]","[3, 4, 6]",0.6666666666666667
[6],"[4, 6]",0.5
[6],[6],1.0
[],[],1.0
"[2, 6]",[6],0.5
[],[],1.0
"[2, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[2, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[3, 2, 3, 6]","[3, 6]",0.5
[6],[6],1.0
[],[],1.0
"[2, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[6, 3, 6]","[2, 4, 3, 7, 3, 6]",0.33333333333333337
[6],"[4, 3, 7, 3, 6]",0.19999999999999996
[6],"[3, 7, 3, 6]",0.25
[6],"[7, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[2, 3, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[4, 6]",[6],0.5
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 6]","[4, 7, 3, 7, 3, 6]",0.5
"[7, 3, 6]","[7, 3, 7, 3, 6]",0.6
"[3, 6]","[3, 7, 3, 6]",0.5
"[6, 3, 6]","[7, 3, 6]",0.6666666666666667
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
