prediction,truth,similarity
"[7, 6, 11, 4, 10, 9, 8]","[7, 6, 11, 10, 4, 9, 8]",0.7142857142857143
"[6, 11, 4, 10, 9, 8, 3, 4, 11, 12]","[6, 11, 10, 4, 9, 8]",0.4
"[11, 4, 10, 9, 8, 3, 4, 11, 12]","[11, 10, 4, 9, 8]",0.33333333333333337
"[4, 10, 9, 8]","[10, 4, 9, 8]",0.5
"[4, 9, 8, 3, 4, 11, 12]","[4, 9, 8]",0.4285714285714286
"[9, 8, 3, 4, 11, 12]","[9, 8]",0.33333333333333337
"[8, 3, 4, 11, 12]",[8],0.19999999999999996
"[3, 4, 11, 12]",[],0.0
"[7, 6, 11, 4, 10, 9, 8]","[9, 7, 11, 4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.2857142857142857
"[7, 6, 8, 10, 11, 4, 3, 13]","[7, 11, 4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.3846153846153846
"[6, 8, 10, 11, 4, 3, 13]","[11, 4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.33333333333333337
"[4, 10, 6, 8, 3, 3, 11, 4, 13]","[4, 10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.7272727272727273
"[10, 6, 8, 3, 10, 11, 3, 3, 11, 4, 4, 11, 11, 4, 11, 12]","[10, 6, 8, 3, 3, 11, 4, 4, 12, 17]",0.5
"[6, 8, 3, 10, 11, 3, 3, 11, 4, 4, 11, 11, 4, 11, 12]","[6, 8, 3, 3, 11, 4, 4, 12, 17]",0.4666666666666667
"[8, 3, 10, 11, 3, 3, 11, 4, 4, 11, 11, 4, 11, 12]","[8, 3, 3, 11, 4, 4, 12, 17]",0.4285714285714286
"[2, 10, 4, 11, 10, 3, 11, 4, 11, 4, 12]","[3, 3, 11, 4, 4, 12, 17]",0.36363636363636365
"[4, 11, 3, 4, 11, 4, 12, 17]","[3, 11, 4, 4, 12, 17]",0.625
"[3, 11, 4, 3, 11, 4, 11, 4, 12]","[11, 4, 4, 12, 17]",0.33333333333333337
"[4, 3, 11, 4, 11, 4, 12]","[4, 4, 12, 17]",0.2857142857142857
[12],"[4, 12, 17]",0.33333333333333337
"[11, 12]","[12, 17]",0.0
[],[17],0.0
[],[],1.0
"[7, 6, 11, 4, 10, 9, 8]","[7, 6, 9, 4, 11, 10, 8, 10]",0.5
"[6, 11, 4, 10, 9, 8, 3, 4, 11, 12]","[6, 9, 4, 11, 10, 8, 10]",0.30000000000000004
"[11, 4, 10, 9, 8, 3, 4, 11, 12]","[9, 4, 11, 10, 8, 10]",0.2222222222222222
"[11, 10, 4, 8]","[4, 11, 10, 8, 10]",0.4
"[10, 11, 8, 3, 4, 11, 4, 12]","[11, 10, 8, 10]",0.125
"[10, 8]","[10, 8, 10]",0.6666666666666667
[8],"[8, 10]",0.5
"[3, 4, 11, 4, 11, 12]",[10],0.0
[],[],1.0
"[7, 6, 11, 4, 10, 9, 8]","[7, 6, 11, 4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.25
"[6, 11, 4, 10, 9, 8, 3, 4, 11, 12]","[6, 11, 4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.37037037037037035
"[11, 4, 10, 9, 8, 3, 4, 11, 12]","[11, 4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.34615384615384615
"[4, 10, 9, 8]","[4, 10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.16000000000000003
"[10, 9, 8]","[10, 9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.125
"[9, 8]","[9, 8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.08695652173913049
"[8, 3, 4, 11, 12]","[8, 3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.2272727272727273
"[3, 11, 4, 12, 17]","[3, 4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.23809523809523814
"[11, 4, 12]","[4, 11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.15000000000000002
"[11, 11, 4, 12]","[11, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.21052631578947367
"[4, 11, 4, 11, 12]","[11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.2777777777777778
"[4, 12]","[4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.11764705882352944
"[11, 4, 12]","[11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.1875
"[4, 12]","[4, 11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.1333333333333333
[12],"[11, 4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.0714285714285714
"[4, 12]","[4, 11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.15384615384615385
"[4, 11, 11, 4, 4, 11, 4, 11, 12]","[11, 4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.5833333333333333
"[4, 4, 11, 4, 11, 11, 4, 4, 11, 4, 11, 12]","[4, 11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.5833333333333333
"[4, 11, 11, 4, 4, 11, 4, 11, 12]","[11, 4, 11, 4, 4, 11, 11, 4, 12, 17]",0.5
"[4, 12, 17]","[4, 11, 4, 4, 11, 11, 4, 12, 17]",0.33333333333333337
"[4, 11, 4, 11, 11, 4, 4, 11, 4, 11, 12]","[11, 4, 4, 11, 11, 4, 12, 17]",0.4545454545454546
"[4, 4, 11, 4, 11, 11, 4, 4, 11, 4, 11, 12]","[4, 4, 11, 11, 4, 12, 17]",0.41666666666666663
"[4, 11, 4, 11, 11, 4, 4, 11, 4, 11, 12]","[4, 11, 11, 4, 12, 17]",0.36363636363636365
"[11, 4, 11, 11, 4, 4, 11, 4, 11, 12]","[11, 11, 4, 12, 17]",0.30000000000000004
[12],"[11, 4, 12, 17]",0.25
"[4, 4, 11, 4, 11, 12]","[4, 12, 17]",0.16666666666666663
"[4, 11, 4, 11, 12]","[12, 17]",0.0
[],[17],0.0
[],[],1.0
"[7, 6, 11, 4, 10, 9, 8]","[7, 6, 9, 8, 2, 4, 11, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.19999999999999996
"[6, 11, 4, 10, 9, 8, 3, 4, 11, 12]","[6, 9, 8, 2, 4, 11, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.29166666666666663
"[11, 4, 10, 9, 8, 3, 4, 11, 12]","[9, 8, 2, 4, 11, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.26086956521739135
"[11, 10, 4, 8]","[8, 2, 4, 11, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.13636363636363635
"[10, 11, 4, 3, 3, 11, 4, 11, 4, 12]","[2, 4, 11, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.38095238095238093
"[11, 4, 10, 11, 10, 4, 11, 4, 10, 3, 4, 11, 11, 4, 4, 11, 12]","[4, 11, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.5
"[11, 10, 3, 3, 11, 4, 11, 4, 12]","[11, 10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.368421052631579
"[10, 3, 3, 11, 4, 11, 4, 12]","[10, 4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.33333333333333337
"[11, 4, 10, 3, 4, 11, 11, 4, 4, 11, 12]","[4, 11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.47058823529411764
"[11, 10, 3, 3, 11, 4, 11, 4, 12]","[11, 10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.4375
"[10, 3, 11, 4, 11, 4, 12]","[10, 4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.4
"[3, 11, 4, 11, 4, 12]","[4, 10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.3571428571428571
"[11, 3, 11, 4, 11, 4, 12]","[10, 11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.46153846153846156
"[11, 3, 11, 4, 11, 4, 12]","[11, 11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.5
"[3, 11, 4, 11, 4, 11, 4, 12]","[11, 4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.5454545454545454
"[10, 3, 11, 4, 11, 12, 17]","[4, 10, 11, 4, 10, 3, 11, 4, 12, 17]",0.5
"[10, 3, 4, 11, 11, 4, 11, 12]","[10, 11, 4, 10, 3, 11, 4, 12, 17]",0.4444444444444444
"[3, 11, 4, 4, 11, 12, 17]","[11, 4, 10, 3, 11, 4, 12, 17]",0.5
"[10, 4, 3, 11, 4, 11, 4, 12]","[4, 10, 3, 11, 4, 12, 17]",0.375
"[10, 3, 4, 11, 11, 4, 11, 12]","[10, 3, 11, 4, 12, 17]",0.5
"[4, 10, 11, 10, 3, 4, 11, 11, 4, 11, 12, 17]","[3, 11, 4, 12, 17]",0.41666666666666663
"[11, 4, 4, 11, 11, 4, 11, 13]","[11, 4, 12, 17]",0.25
"[4, 4, 11, 11, 4, 13]","[4, 12, 17]",0.16666666666666663
"[4, 11, 4, 11, 4, 11, 11, 4, 11, 13]","[12, 17]",0.0
[17],[17],1.0
[],[],1.0
"[7, 6, 11, 4, 10, 9, 8]","[7, 6, 9, 8, 4, 11, 10, 3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.23529411764705888
"[6, 11, 4, 10, 9, 8, 3, 4, 11, 12]","[6, 9, 8, 4, 11, 10, 3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.375
"[11, 4, 10, 9, 8, 3, 4, 11, 12]","[9, 8, 4, 11, 10, 3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.33333333333333337
"[11, 10, 4, 8]","[8, 4, 11, 10, 3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.2142857142857143
"[11, 4, 10, 3, 4, 11, 3, 4, 11, 11, 4, 11, 4, 12]","[4, 11, 10, 3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.5714285714285714
"[10, 11, 3, 11, 4, 11, 4, 12]","[11, 10, 3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.5833333333333333
[10],"[10, 3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.09090909090909094
[],"[3, 11, 11, 11, 4, 3, 11, 4, 4, 12]",0.0
"[11, 4, 3, 11, 4, 11, 4, 4, 11, 12]","[11, 11, 11, 4, 3, 11, 4, 4, 12]",0.6
"[4, 3, 11, 4, 11, 4, 4, 11, 12]","[11, 11, 4, 3, 11, 4, 4, 12]",0.5555555555555556
"[4, 11, 4, 4, 11, 12]","[11, 4, 3, 11, 4, 4, 12]",0.5714285714285714
"[4, 4, 11, 12]","[4, 3, 11, 4, 4, 12]",0.5
"[4, 11, 12]","[3, 11, 4, 4, 12]",0.4
[14],"[11, 4, 4, 12]",0.0
"[4, 4, 11, 11, 4, 15]","[4, 4, 12]",0.33333333333333337
[13],"[4, 12]",0.0
"[11, 12]",[12],0.5
[],[],1.0
"[7, 6, 11, 4, 10, 9, 8]","[9, 7, 6, 8, 11, 10, 4, 3, 11, 10, 4, 11, 4, 12, 17]",0.33333333333333337
"[7, 6, 8, 10, 11, 4, 3, 13]","[7, 6, 8, 11, 10, 4, 3, 11, 10, 4, 11, 4, 12, 17]",0.4285714285714286
"[6, 8, 10, 11, 4, 3, 13]","[6, 8, 11, 10, 4, 3, 11, 10, 4, 11, 4, 12, 17]",0.3846153846153846
"[8, 10, 11, 4, 3, 13]","[8, 11, 10, 4, 3, 11, 10, 4, 11, 4, 12, 17]",0.33333333333333337
"[10, 11, 4, 3, 4, 11, 11, 4, 11, 12, 17]","[11, 10, 4, 3, 11, 10, 4, 11, 4, 12, 17]",0.5454545454545454
"[10, 4, 3, 4, 11, 4, 11, 12, 17]","[10, 4, 3, 11, 10, 4, 11, 4, 12, 17]",0.7
"[4, 3, 4, 11, 12, 17]","[4, 3, 11, 10, 4, 11, 4, 12, 17]",0.6666666666666667
"[3, 11, 4, 11, 4, 12, 17]","[3, 11, 10, 4, 11, 4, 12, 17]",0.875
"[11, 4, 11, 4, 12, 17]","[11, 10, 4, 11, 4, 12, 17]",0.8571428571428572
"[4, 11, 4, 11, 4, 12, 17]","[10, 4, 11, 4, 12, 17]",0.7142857142857143
"[4, 10, 11, 3, 4, 11, 12, 17]","[4, 11, 4, 12, 17]",0.625
"[3, 12]","[11, 4, 12, 17]",0.25
"[4, 12]","[4, 12, 17]",0.6666666666666667
[12],"[12, 17]",0.5
[17],[17],1.0
[],[],1.0
"[7, 6, 11, 4, 10, 9, 8]","[7, 6, 9, 8, 4, 10, 11, 3, 4, 11, 12]",0.36363636363636365
"[6, 11, 4, 10, 9, 8, 3, 4, 11, 12]","[6, 9, 8, 4, 10, 11, 3, 4, 11, 12]",0.6
"[11, 4, 10, 9, 8, 3, 4, 11, 12]","[9, 8, 4, 10, 11, 3, 4, 11, 12]",0.5555555555555556
"[11, 10, 4, 8]","[8, 4, 10, 11, 3, 4, 11, 12]",0.25
"[11, 4, 10, 3, 4, 11, 3, 4, 11, 11, 4, 11, 4, 12]","[4, 10, 11, 3, 4, 11, 12]",0.5
"[10, 11, 3, 11, 4, 11, 4, 12]","[10, 11, 3, 4, 11, 12]",0.75
"[11, 3, 11, 4, 11, 4, 12]","[11, 3, 4, 11, 12]",0.7142857142857143
"[3, 13]","[3, 4, 11, 12]",0.25
"[11, 4, 11, 4, 4, 11, 12]","[4, 11, 12]",0.4285714285714286
"[11, 11, 4, 12]","[11, 12]",0.5
"[4, 11, 12]",[12],0.33333333333333337
[],[],1.0
"[7, 6, 11, 4, 10, 9, 8]","[7, 6, 11, 4, 10, 9, 8, 3, 11, 4, 4, 12]",0.5833333333333333
"[6, 11, 4, 10, 9, 8, 3, 4, 11, 12]","[6, 11, 4, 10, 9, 8, 3, 11, 4, 4, 12]",0.8181818181818181
"[11, 4, 10, 9, 8, 3, 4, 11, 12]","[11, 4, 10, 9, 8, 3, 11, 4, 4, 12]",0.8
"[4, 10, 9, 8]","[4, 10, 9, 8, 3, 11, 4, 4, 12]",0.4444444444444444
"[10, 9, 8]","[10, 9, 8, 3, 11, 4, 4, 12]",0.375
"[9, 8]","[9, 8, 3, 11, 4, 4, 12]",0.2857142857142857
"[8, 3, 4, 11, 12]","[8, 3, 11, 4, 4, 12]",0.6666666666666667
"[3, 12]","[3, 11, 4, 4, 12]",0.4
"[4, 11, 12]","[11, 4, 4, 12]",0.5
"[4, 12]","[4, 4, 12]",0.6666666666666667
"[12, 17]","[4, 12]",0.0
"[11, 4, 11, 12]",[12],0.25
[],[],1.0
