prediction,truth,similarity
"[3, 11]","[3, 3, 13, 13, 3, 13, 3, 7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.050000000000000044
"[13, 3, 12, 10]","[3, 13, 13, 3, 13, 3, 7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.21052631578947367
"[13, 3, 7, 12, 10]","[13, 13, 3, 13, 3, 7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.2777777777777778
"[3, 7, 12, 10]","[13, 3, 13, 3, 7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.23529411764705888
"[3, 7, 12, 10]","[3, 13, 3, 7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.25
"[7, 12, 10]","[13, 3, 7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.19999999999999996
"[3, 12, 10]","[3, 7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.2142857142857143
"[7, 3, 12, 10]","[7, 13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.3076923076923077
"[12, 10]","[13, 3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.16666666666666663
"[3, 12, 10]","[3, 13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.2727272727272727
"[12, 10]","[13, 3, 13, 3, 2, 3, 6, 7, 12, 10]",0.19999999999999996
"[3, 12, 10]","[3, 13, 3, 2, 3, 6, 7, 12, 10]",0.33333333333333337
"[13, 3, 12, 10]","[13, 3, 2, 3, 6, 7, 12, 10]",0.5
"[3, 12, 10]","[3, 2, 3, 6, 7, 12, 10]",0.4285714285714286
"[13, 3, 12, 10]","[2, 3, 6, 7, 12, 10]",0.5
"[3, 7, 3, 12, 10]","[3, 6, 7, 12, 10]",0.6
"[7, 3, 12, 10]","[6, 7, 12, 10]",0.5
"[7, 3, 12, 10]","[7, 12, 10]",0.75
"[12, 10]","[12, 10]",1.0
[10],[10],1.0
[],[],1.0
"[3, 11]","[3, 13, 3, 7, 3, 7, 3, 7, 12, 10]",0.09999999999999998
[11],"[13, 3, 7, 3, 7, 3, 7, 12, 10]",0.0
"[3, 2, 3, 7, 12, 10]","[3, 7, 3, 7, 3, 7, 12, 10]",0.625
"[7, 12, 10]","[7, 3, 7, 3, 7, 12, 10]",0.4285714285714286
"[12, 10]","[3, 7, 3, 7, 12, 10]",0.33333333333333337
"[7, 3, 12, 10]","[7, 3, 7, 12, 10]",0.8
"[12, 10]","[3, 7, 12, 10]",0.5
"[12, 10]","[7, 12, 10]",0.6666666666666667
"[3, 12, 10]","[12, 10]",0.6666666666666667
[10],[10],1.0
[],[],1.0
"[3, 11]","[3, 13, 3, 7, 13, 3, 4, 12, 10]",0.11111111111111116
[11],"[13, 3, 7, 13, 3, 4, 12, 10]",0.0
"[3, 7, 12, 10]","[3, 7, 13, 3, 4, 12, 10]",0.5714285714285714
"[13, 3, 7, 12, 10]","[7, 13, 3, 4, 12, 10]",0.6666666666666667
"[12, 10]","[13, 3, 4, 12, 10]",0.4
"[3, 12, 10]","[3, 4, 12, 10]",0.75
"[12, 10]","[4, 12, 10]",0.6666666666666667
"[12, 10]","[12, 10]",1.0
[10],[10],1.0
[],[],1.0
"[3, 7, 12, 10]","[3, 7, 2, 2, 3, 7, 8, 7, 12, 10]",0.4
"[7, 12, 10]","[7, 2, 2, 3, 7, 8, 7, 12, 10]",0.33333333333333337
"[12, 10]","[2, 2, 3, 7, 8, 7, 12, 10]",0.25
"[3, 7, 12, 10]","[2, 3, 7, 8, 7, 12, 10]",0.5714285714285714
"[3, 7, 12, 10]","[3, 7, 8, 7, 12, 10]",0.6666666666666667
"[12, 10]","[7, 8, 7, 12, 10]",0.4
"[12, 10]","[8, 7, 12, 10]",0.5
"[3, 12, 10]","[7, 12, 10]",0.6666666666666667
"[12, 10]","[12, 10]",1.0
[10],[10],1.0
[],[],1.0
"[3, 11]","[3, 13, 3, 13, 3, 13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.045454545454545414
"[13, 3, 7, 12, 10]","[13, 3, 13, 3, 13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.23809523809523814
"[3, 7, 12, 10]","[3, 13, 3, 13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.19999999999999996
"[7, 12, 10]","[13, 3, 13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.1578947368421053
"[3, 7, 12, 10]","[3, 13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.2222222222222222
"[7, 3, 12, 10]","[13, 3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.23529411764705888
"[3, 7, 12, 10]","[3, 13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.25
"[7, 12, 10]","[13, 3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.19999999999999996
"[3, 7, 12, 10]","[3, 2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.2857142857142857
"[2, 3, 7, 3, 12, 10]","[2, 3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.46153846153846156
"[3, 7, 3, 12, 10]","[3, 7, 13, 3, 13, 3, 4, 3, 7, 3, 12, 10]",0.41666666666666663
