prediction,truth,similarity
"[3, 2, 2, 3, 6]","[7, 3, 4, 3, 6]",0.4
"[3, 3, 6]","[3, 4, 3, 6]",0.75
"[4, 2, 4, 6]","[4, 3, 6]",0.5
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",1.0
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 4, 7, 3, 2, 3, 6]","[2, 3, 6]",0.4285714285714286
"[3, 7, 3, 2, 3, 6]","[3, 6]",0.33333333333333337
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 6]","[4, 6]",0.25
"[7, 3, 2, 3, 6]",[6],0.19999999999999996
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 4, 6]","[4, 6]",0.5
"[7, 3, 6]",[6],0.33333333333333337
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 4, 6]",[6],0.25
[],[],1.0
"[4, 6]",[6],0.5
[],[],1.0
"[4, 6]","[4, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
[6],"[7, 3, 7, 3, 6]",0.19999999999999996
"[3, 6]","[3, 7, 3, 6]",0.5
"[7, 7, 3, 6]","[7, 3, 6]",0.75
"[3, 3, 7, 3, 6]","[3, 6]",0.4
"[7, 3, 7, 3, 7, 3, 4, 6]",[6],0.125
[],[],1.0
"[3, 3, 6]","[3, 6]",0.6666666666666667
"[7, 3, 4, 6]",[6],0.25
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 4, 6]",0.6
"[3, 3, 6]","[3, 4, 6]",0.6666666666666667
"[2, 3, 6]","[4, 6]",0.33333333333333337
[6],[6],1.0
[],[],1.0
[6],"[7, 7, 3, 6]",0.25
"[3, 4, 6]","[7, 3, 6]",0.33333333333333337
"[3, 3, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[4, 6]",[6],0.5
[],[],1.0
"[3, 3, 6]","[3, 2, 2, 3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.1875
"[7, 7, 3, 6]","[2, 2, 3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.2666666666666667
"[3, 6]","[2, 3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.1428571428571429
"[7, 3, 6]","[3, 3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.23076923076923073
"[7, 7, 3, 6]","[3, 7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.33333333333333337
[6],"[7, 3, 7, 3, 6, 3, 6, 3, 7, 3, 6]",0.09090909090909094
