prediction,truth,similarity
"[3, 5, 7, 18, 6]","[7, 3, 4, 3, 18, 4, 3, 4]",0.25
"[18, 3, 5, 6]","[3, 4, 3, 18, 4, 3, 4]",0.1428571428571429
"[18, 5, 6]","[4, 3, 18, 4, 3, 4]",0.16666666666666663
"[3, 5, 6]","[3, 18, 4, 3, 4]",0.19999999999999996
"[5, 6, 18]","[18, 4, 3, 4]",0.0
"[5, 6]","[4, 3, 4]",0.0
"[3, 5, 6]","[3, 4]",0.33333333333333337
"[5, 6]",[4],0.0
"[3, 5, 6]",[],0.0
"[3, 5, 6, 7, 18]","[3, 5, 7, 18, 6]",0.6
"[5, 7, 18, 6]","[5, 7, 18, 6]",1.0
"[7, 18, 6]","[7, 18, 6]",1.0
"[18, 6]","[18, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 18]","[3, 5, 6, 7, 18]",1.0
"[5, 6, 7, 18]","[5, 6, 7, 18]",1.0
"[6, 7, 18]","[6, 7, 18]",1.0
"[7, 18]","[7, 18]",1.0
[18],[18],1.0
[],[],1.0
"[3, 5, 6, 7, 18]","[3, 5, 6, 7, 18]",1.0
"[5, 6, 7, 18]","[5, 6, 7, 18]",1.0
"[6, 7, 18]","[6, 7, 18]",1.0
"[7, 18]","[7, 18]",1.0
[18],[18],1.0
[],[],1.0
"[3, 5, 6, 7, 18]","[3, 5, 6, 7, 18]",1.0
"[5, 6, 7, 18]","[5, 6, 7, 18]",1.0
"[6, 7, 18]","[6, 7, 18]",1.0
"[7, 18]","[7, 18]",1.0
[18],[18],1.0
[],[],1.0
"[3, 5, 6, 7, 18]","[3, 5, 6, 7, 18]",1.0
"[5, 6, 7, 18]","[5, 6, 7, 18]",1.0
"[6, 7, 18]","[6, 7, 18]",1.0
"[7, 18]","[7, 18]",1.0
[18],[18],1.0
[],[],1.0
"[3, 5, 6, 7, 18]","[3, 5, 6, 7, 18]",1.0
"[5, 6, 7, 18]","[5, 6, 7, 18]",1.0
"[6, 7, 18]","[6, 7, 18]",1.0
"[7, 18]","[7, 18]",1.0
[18],[18],1.0
[],[],1.0
"[3, 5, 6, 7, 18]","[3, 6, 7, 18]",0.8
"[5, 6, 7, 18]","[6, 7, 18]",0.75
"[7, 18]","[7, 18]",1.0
"[18, 3, 5, 6]",[18],0.25
"[3, 5, 6]",[],0.0
"[3, 5, 6, 7, 18]","[3, 5, 6, 7, 18]",1.0
"[5, 6, 7, 18]","[5, 6, 7, 18]",1.0
"[6, 7, 18]","[6, 7, 18]",1.0
"[7, 18]","[7, 18]",1.0
[18],[18],1.0
[],[],1.0
"[3, 5, 6, 7, 18]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 7, 3, 5, 6, 18]",0.19999999999999996
