prediction,truth,similarity
"[8, 6]","[8, 9, 21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.040000000000000036
[6],"[9, 21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.0
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[21, 2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.08695652173913049
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[2, 7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.045454545454545414
"[16, 7, 14, 17, 21, 13, 16, 14, 17, 23, 23, 23, 23, 23, 23]","[7, 16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.4285714285714286
"[16, 14, 17, 21, 13, 5, 23]","[16, 14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.30000000000000004
"[14, 17, 21, 13, 5, 23]","[14, 17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.26315789473684215
"[17, 21, 13, 5, 23]","[17, 21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.2222222222222222
"[21, 13, 5, 23]","[21, 23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.17647058823529416
"[13, 5, 23]","[23, 16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.125
"[5, 13, 23]","[16, 13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.1333333333333333
"[13, 14, 17, 23, 23, 5, 13, 23]","[13, 14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.3571428571428571
"[14, 17, 23, 23, 5, 13, 23]","[14, 17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.3076923076923077
"[17, 23, 23, 5, 13, 23]","[17, 23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.25
"[23, 23, 5, 13, 23]","[23, 23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.18181818181818177
"[23, 5, 13, 23]","[23, 18, 23, 24, 24, 12, 4, 10, 3, 24]",0.09999999999999998
"[5, 13, 23]","[18, 23, 24, 24, 12, 4, 10, 3, 24]",0.0
"[23, 15, 6, 24]","[23, 24, 24, 12, 4, 10, 3, 24]",0.25
"[4, 12, 3, 10, 24]","[24, 24, 12, 4, 10, 3, 24]",0.4285714285714286
"[24, 24, 24, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]","[24, 12, 4, 10, 3, 24]",0.0714285714285714
[12],"[12, 4, 10, 3, 24]",0.19999999999999996
"[10, 3, 4, 24]","[4, 10, 3, 24]",0.5
"[3, 10, 24]","[10, 3, 24]",0.33333333333333337
"[3, 24]","[3, 24]",1.0
[24],[24],1.0
[],[],1.0
"[8, 6]","[8, 9, 21, 2, 16, 7, 14, 17, 21, 23, 23, 18, 23, 24, 24, 6, 15, 24]",0.11111111111111116
[6],"[9, 21, 2, 16, 7, 14, 17, 21, 23, 23, 18, 23, 24, 24, 6, 15, 24]",0.05882352941176472
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 5]","[21, 2, 16, 7, 14, 17, 21, 23, 23, 18, 23, 24, 24, 6, 15, 24]",0.125
