prediction,truth,similarity
"[8, 6]","[8, 6, 19]",0.6666666666666667
[6],"[6, 19]",0.5
[19],[19],1.0
[],[],1.0
"[8, 6]","[8, 9, 19, 21, 2, 16, 7, 14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.020408163265306145
[6],"[9, 19, 21, 2, 16, 7, 14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.0
"[19, 6, 21]","[19, 21, 2, 16, 7, 14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.04255319148936165
"[6, 21]","[21, 2, 16, 7, 14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.021739130434782594
"[6, 21]","[2, 16, 7, 14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.022222222222222254
"[16, 7, 14, 17, 21, 23, 13, 5, 23]","[16, 7, 14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.18181818181818177
"[7, 14, 17, 21, 23, 13, 5, 23]","[7, 14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.16279069767441856
"[14, 17, 21, 23, 13, 5, 23]","[14, 17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.1428571428571429
"[17, 21, 23, 13, 5, 23]","[17, 21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.12195121951219512
"[21, 23, 13, 5, 23]","[21, 23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.09999999999999998
"[23, 13, 5, 23]","[23, 23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.07692307692307687
"[13, 5, 23]","[23, 23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.052631578947368474
"[13, 5, 23]","[23, 16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.05405405405405406
"[13, 5, 23]","[16, 13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.05555555555555558
"[13, 14, 17, 23, 23, 13, 5, 23]","[13, 14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.17142857142857137
"[14, 17, 23, 23, 13, 5, 23]","[14, 17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.1470588235294118
"[17, 23, 23, 13, 5, 23]","[17, 23, 23, 23, 23, 23, 18, 23, 24, 22, 22, 22, 22, 22, 24, 22, 22, 24, 13, 16, 14, 17, 24, 22, 22, 22, 18, 22, 12, 3, 4, 10, 24]",0.12121212121212122
